L_NAME,PRICE,MYEAR,MILEAGE,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,TRANS_CVT,TRANS_SAT,TRANS_기타,TRANS_수동,TRANS_오토,F_TYPE_CNG,F_TYPE_LPG,F_TYPE_가솔린,F_TYPE_가솔린+LPG,F_TYPE_기타,F_TYPE_디젤,F_TYPE_전기,F_TYPE_하이브리드,F_TYPE_하이브리드(LPG),F_TYPE_하이브리드(가솔린)
BMW M시리즈,0.0628727,0.20774436,0.04774512,0,0,0,0,0.08041057,0,0,0,0,0,0,0,0.37608466,0,0,0,0,0,0,0,0.22514261
BMW Z4,0.7450319,0.21855476,0,0,0,0,0,0.031860054,0,0,0,0,0,0,0,0.004553357,0,0,0,0,0,0,0,0
BMW X7,0.60273373,0.13782768,0.00014160694,0,0,0,0,0.15475576,0,0,0,0,0,0,0,0.042624325,0,0,0.020373167,7.89E-05,0,0,0.0044707544,0.036994025
BMW 2시리즈,0.15661755,0.41213456,0.07673252,0,0,0,0,0.12628338,0,0,0,0.016318152,0,0,0,0.21190222,0,0,1.16E-05,0,0,0,0,0
BMW 6시리즈,0.5756366,0.34939453,0.0005717208,0,0,0,0,0.074266985,0,0,0,0,0,0,0,0.00013017979,0,0,0,0,0,0,0,0
벤츠 S클래스,0.14187662,0.023229806,0.011025874,0,0,7.39E-05,0,0.013041958,0,0,0,0,0,0,0,0.040624943,0,0,0.044240154,0.09528092,0.04794405,0,0.039927516,0.5427343
벤츠 C클래스,0.49902812,0.23925054,0.01607391,0,0,0,0,0.06960342,0,0,0,0,0,0,0,0.106700756,0,0,0.024064673,0.005476835,0,0,0.039801784,0
벤츠 E클래스,0.39109352,0.07588722,0.021830799,0,0,0,0,0.06562821,0,0,0,0,0,0,0,0.17014427,0,0,0.06032087,0.02309365,0,0,0.09379317,0.098208226
벤츠 GLE,0.26456365,0.05070182,0.116113946,0,0,0,0,0.023387805,0,0,0,0,0,0,0,0.2821212,0,0,0.055168107,0.0800883,0,0,0.0338657,0.0939895
벤츠 AMG,0.21456371,0.104678616,0.102726415,0,0,0,0,0.11336468,0,0,0,0.005669211,0,0,0,0.14664803,0,0,0.039534993,0.05638786,0,0,0.14906053,0.0673659
벤츠 A클래스,0.09894734,0.02820803,0.008645973,0,0,0,0,0.029437436,0,0,0,0,0,0,0,0.06522468,0,0,0.000713948,0,0,0,0.7688226,0
벤츠 M클래스,0.9504618,0.029521987,0,0,0,0,0,0.017608445,0,0,0,0,0,0,0,0.002407834,0,0,0,0,0,0,0,0
벤츠 SLK클래스,0.09720299,0.0077126143,0,0,0,0,0,0.04413519,0,0,0,0,0,0,0,0.8509492,0,0,2.56E-08,0,0,0,0,0
벤츠 B클래스,0.60609597,0.3651845,0,0,0,0,0,0.0008037931,1.29E-10,0,0,0,0,0,0,0.027915731,0,0,2.43E-08,0,0,0,0,0
벤츠 EQS,0.6413015,0.03047399,1.67E-05,0,0,0,0,0.2859586,0,0,0,0,0,0,0,0,0,0,2.64E-05,0.039255265,0,0,0.0029675798,0
